8998	1270
8864	1383
7872	1737
8048	1715
7545	1835
7422	1921
7260	2020
7101	2118
6963	2217
7615	2215
7465	2310
7350	2397
7196	2479
7333	2532
6824	3042
6601	2894
6689	2566
6431	2413
6313	2342
6032	2228
5935	2250
1856	2698
5560	2762
6201	2989
6975	3468
5684	4388
5621	4469
5290	3432
5215	3527
4290	3207
3622	3273
2656	3590
5525	6450
697	3725
629	3676
642	3602
699	3486
886	3384
961	3311
1036	3254
1360	3369
1718	3515
1247	3434
1173	3499
975	3627
1274	3742
1565	3648
2057	3659
1874	3770
2320	3763
2696	3914
2552	4018
2359	4225
2245	4294
2117	4372
2182	4233
1901	4040
1648	4184
1839	3989
1619	3923
1696	4345
1451	4476
1340	4548
1226	4619
1208	4802
800	4967
749	5031
662	5094
594	5162
488	5358
474	5450
1994	4451
1880	4523
1754	4596
1622	4655
1502	4729
1377	4805
1244	4891
1126	4964
1053	5040
947	5158
886	5369
1156	5339
1258	5277
1685	5414
1831	5798
1621	5715
1366	5609
1121	5514
888	5423
1169	5360
2111	5774
2537	5735
2185	5593
1945	5843
1505	5339
1752	5630
2242	5345
3206	6010
3327	5934
3454	5858
3581	5780
3710	5705
2899	5815
3008	5730
3128	5647
3453	5688
3879	5736
3879	5736
3879	5736
3857	5546
4092	5387
4216	5294
4346	5218
4065	5139
4361	4675
4214	4740
4035	4839
3920	4912
3846	4944
4545	4705
4384	4781
4173	4904
4040	5000
4860	4877
4726	4941
4543	5029
4406	5104
3863	4019
3603	4162
3227	4070
3481	4170
3103	4146
3354	4249
2978	4224
3233	4326
3056	4405
2934	4486
4087	4740
3777	4735
4075	4493
3853	4476
3757	4583
3570	4639
8371	3940
2145	3871
2364	4134
1969	3989
2414	5936
7544	6630
7316	6634
7143	6648
6880	6654
6527	6728
7089	6774
6942	6846
6824	6921
6552	6809
6408	6759
6567	7078
6567	7058
6086	7374
3708	6132
1663	3586
843	5222
1972	4942
3704	5070
3970	5468
3175	4475
6888	5848
7770	4252
7676	4368
6094	3770
5352	5860
5000	4320
6042	5404
7539	5145
5717	5631
6983	5148
4866	2338
4463	2857
6307	2859
6296	2860
6310	2850
6324	2856
6222	2864
2814	4920
6604	5620
6580	5664
6580	5664
6584	5628
6592	5644
3880	2238
5988	5736
5936	3988
8894	4098
5990	4400
4480	6048
6920	5840
6880	5864
6908	5920
9386	5332
6512	6128
9368	5340
7952	6176
7928	6176
8048	6264
8036	6200
7940	6188
7944	6192
7948	6204
7972	6224
8000	6172
7948	6232
3844	2192
6520	6128
4672	3584
4696	3568
4664	3560
4616	3596
8668	3768
8664	3776
2820	4904
8652	3764
4800	3604
4100	4120
7018	3759
4716	3548
4388	3520
4720	3600
3724	3704
4812	3636
6190	3128
4374	3504
6234	3134
4071	3452
3774	3661
6872	5868
1906	4222
4990	4893
11170	3275
2213	4081
11180	2710
7729	5140
4292	4432
6908	6694
6634	6740
7688	5380
4318	6498
3716	6204
4022	6328
3496	6342
3796	6470
4668	6374
4294	7024
5904	6548
5922	6434
4619	6705
6247	6719
6379	6566
7500	5972
8200	6220
7994	6354
7126	4560
7006	4412
7220	4390
6628	4448
6762	4392
6748	4236
8388	6044
9116	4838
8114	4458
8424	4220
8685	3998
7971	4019
8031	4042
8240	3938
8462	3815
8577	3582
8517	3695
8551	3689
8628	3734
8632	3729
11542	3980
11518	2638
10154	3210
9974	3302
8830	1536
6862	994
6648	1144
6372	1474
7028	1514
7096	1883
6008	1828
6402	2006
6777	2123
6122	1767
5958	1654
7884	1956
5954	2494
6280	2584
4468	2226
3704	2562
3624	2426
4448	2372
4880	2548
4218	2498
6096	2442
6114	2438
4918	3426
5171	3609
5052	4009
1433	2988
1321	3098
4413	2318
4524	3052
4164	3418
3709	3619
520	5322
1985	6274
2438	5685
2944	6688
4316	4302
4971	4889
5397	4796
2488	6614
5844	4472
5920	6420
3792	3614
4344	3520
3794	3614
7978	5447
8050	4057
7309	5232
7514	6436
3772	6444
3920	2366
6976	6244
6972	6242
6980	6244
6842	4970
6420	6108
9370	5304
7010	5156
9296	5094
9334	5196
5438	2574
6038	4400
4846	3058
3792	2250
3884	2328
4782	5648
4778	5488
5148	3674
6962	6240
5174	2430
6502	5622
6482	5608
6480	5608
6038	5936
7748	5442
7754	5458
8472	5080
8424	5064
3012	3052
2763	2946
3516	4047
476	3408
6198	3118
5926	2018
11228	3320
8852	3950
2884	3400
3304	3196
8156	3972
2238	5172
9250	2688
9260	2666
7592	3294
3530	2148
9496	2674
9314	5110
9344	5198
9362	5284
1678	5048
2048	5356
1832	5404
5176	7472
7155	5955
6012	3736
6988	6248
6550	3668
5378	5862
5434	5870
5402	5874
10940	3980
5950	5496
7012	5156
7492	5024
5572	6224
7752	5442
7518	5036
7532	5044
7514	5044
7520	5048
7524	5046
7506	5032
7584	5074
7486	5032
7592	5076
8420	5054
8396	5050
8406	5066
8942	5212
9324	5094
8404	5056
6466	6072
9330	5196
9334	5196
9330	5208
9328	5100
6428	6084
6420	6088
6456	6068
6824	4992
6784	5000
7012	5156
7020	5152
7248	4562
4542	2532
4600	2556
6290	3042
5042	5400
4598	2554
4498	2860
4540	2848
3888	2972
3872	2964
4476	2856
4872	2338
4482	2860
3888	2348
4486	2862
6182	5396
6060	5722
6714	4214
6046	5928
6508	5604
5930	4000
7544	5052
7992	6332
7952	6332
7992	6324
8004	6324
7928	6332
5684	5660
5592	5126
5750	5182
5736	5196
5360	5328
5362	5340
5360	5334
5356	5340
7016	5168
3788	2260
7808	5508
3860	2320
7244	4912
7280	4928
7232	4896
5816	3700
6580	5176
5704	5192
5360	5336
5580	6228
5452	6292
7546	4328
7532	4260
5304	4172
5672	5824
4940	4280
5698	4602
11162	4126
7884	5696
7202	4396
7210	4386
